               CRI Profile Diagnostic Statements by Subject Tag (or Vice Versa),               CRI Profile Diagnostic Statements by Subject Tag (or Vice Versa),               CRI Profile Diagnostic Statements by Subject Tag (or Vice Versa),               CRI Profile Diagnostic Statements by Subject Tag (or Vice Versa),               CRI Profile Diagnostic Statements by Subject Tag (or Vice Versa)
#program_transformation,"ID.RA-06.01: Technology and cybersecurity risk management programs and risk assessment processes produce actionable recommendations that the organization uses to select, design, prioritize, implement, maintain, evaluate, and modify cybersecurity and technology controls.",IDENTIFY / Risk Assessment / Risk Response Determination,ID.RA-06.01,060.125
#program_transformation,"ID.RA-06.03: Technology and cybersecurity programs identify and implement controls to manage applicable risks within the risk appetite set by the governing authority (e.g., the Board or one of its committees).",IDENTIFY / Risk Assessment / Risk Response Determination,ID.RA-06.03,060.127
#program_transformation,"ID.IM-01.03: The organization establishes specific objectives, performance criteria, benchmarks, and tolerance limits to identify areas that have improved or are in need of improvement over time.",IDENTIFY / Improvement / Continuous Improvements Evaluation,ID.IM-01.03,064.140
#program_transformation,"ID.IM-01.04: Technology and cybersecurity programs include elements designed to assess, manage, and continually improve the quality of program delivery in addressing stakeholder requirements and risk reduction.",IDENTIFY / Improvement / Continuous Improvements Evaluation,ID.IM-01.04,064.141
#program_transformation,"ID.IM-01.05: The organization's third-party risk management program is regularly assessed, reported on, and improved.",IDENTIFY / Improvement / Continuous Improvements Evaluation,ID.IM-01.05,064.142
#program_transformation,"ID.IM-02.09: Corrective actions for gaps identified during security-related, incident management, response plan, and disaster recovery testing are retested and validated, or have a formal risk acceptance or risk exception.",IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.09,065.151
#remote_access,"ID.AM-03.01: The organization maintains current maps of network resources, mobile resources, external connections, network-connected third parties, and network data flows.",IDENTIFY / Asset Management / Network Communications & Data Flows,ID.AM-03.01,049.100
#remote_access,"PR.PS-03.01: The organization defines and implements controls for the on-site and remote maintenance and repair of the organization's technology assets (e.g., work must be performed by authorized personnel, use of approved procedures and tools, use of original or vendor-approved spare parts).",PROTECT / Platform Security / Hardware Maintenance,PR.PS-03.01,087.205
#remote_access,"PR.IR-01.05: Remote access is carefully controlled (e.g., restricted to defined systems, access is actively managed (e.g., session timeouts, logging, forced disconnect, etc.), and encrypted connections with multi-factor authentication are used).",PROTECT / Technology Infrastructure Resilience / Logical Access Protections,PR.IR-01.05,093.228
#resilience,"GV.OC-04.01: The organization maintains an inventory of key internal assets, business functions, and external dependencies that includes mappings to other assets, business functions, and information flows.",GOVERN / Organizational Context / Stakeholder Service Expectations,GV.OC-04.01,006.007
#resilience,"GV.OC-04.02: The organization documents the business processes that are critical for the delivery of services and the functioning of the organization, and the impacts to the business if those processes are degraded or not functioning.",GOVERN / Organizational Context / Stakeholder Service Expectations,GV.OC-04.02,006.008
#resilience,"GV.OC-04.03: Resilience requirements to support the delivery of critical services are established for all operating states (e.g., under duress/attack, during recovery, and normal operations).",GOVERN / Organizational Context / Stakeholder Service Expectations,GV.OC-04.03,006.009
#resilience,"GV.OC-04.04: The organization prioritizes the resilience design, planning, testing, and monitoring of systems and other key internal and external dependencies according to their criticality to the supported business functions, enterprise mission, and to the financial services sector.",GOVERN / Organizational Context / Stakeholder Service Expectations,GV.OC-04.04,006.010
#resilience,"GV.OC-05.03: The organization defines objectives (e.g., Recovery Time Objective, Maximum Tolerable Downtime, Impact Tolerance) for the resumption of critical operations in alignment with business imperatives, stakeholder obligations, and critical infrastructure dependencies.",GOVERN / Organizational Context / Organizational Service Dependencies,GV.OC-05.03,007.013
#resilience,"GV.OC-05.04: Recovery point objectives to support data integrity are consistent with the organization's recovery time objectives, information flow dependencies between systems, and business obligations.",GOVERN / Organizational Context / Organizational Service Dependencies,GV.OC-05.04,007.014
#resilience,"GV.RM-01.05: The organization's technology, cybersecurity, resilience, and third-party risk management programs, policies, resources, and priorities are aligned and mutually supporting.",GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.05,009.019
#resilience,GV.RM-03.02: The organization's business continuity and resilience strategy and program align with and support the overall enterprise risk management framework.,GOVERN / Risk Management Strategy / Enterprise Risk Integration,GV.RM-03.02,011.024
